"","V1","V2"
"Pop.growth",0,0
"Pop.growth.2004",0,0.02395132223142
"Price.index",0,0
"Carbon.Dioxide.2003",0,0
"Export.1990",0,0
"Export.2004",0,0
"Elec.2003",0,0
"GDP",0,0
"GDP.PPP",0,0
"GDP.pc",0.574511727957677,0
"GDP.pc.growth.rate",0,0
"Fem.Econo.Rate",0,0
"Fem.Econo.1990",0,0
"Fem.Econo.2004",0,0
"Health.Exp",0,0
"Babies",0,0
"Internet.1990",0,0
"Import.1990",0,0
"Import.2004",0,0.137464638168395
"Tertiary.female.ratio",0,0
"Babies.immunized",0,0
"Manufactured.Exp.2004",0,0
"Foreign.invest.2004",0,0
"Military.2004",0,0
"Public.Health.2003",0,0
"Private.Health.2003",0,0
"Primary.export.2004",0,0
"Public.Health",0,0.630414892835819
"Refugees.asylum",-0.179317264770425,0
"Refugees.origin",0,0
"Armed.forces",0,0
"Parliament.Seats.Women",0,0
"Female.Male.income",0,0
"House.women.2006",0,0
"Pop.1975",0,-0.316695455016777
"Pop.2004",0,0
"Pop.2015",0,0
"Tuberculosis.detected",0,0
"Tuberculosis.cured.2004",0,0
"Trad.fuel",0,0
"ODA.pc.donnor.2004",0,0
"ODA.to.least.dev.1990",0,0
"ODA.to.least.dev.2004",0,0
"ODA.received",-0.0309029796628142,0
"ODA.received.pc",0,0
